Meal_ID,Name,Calories,Protein,Carbs,Fat,Type,Meal_Type,Goal,Tags
M0259,Moong Dal Khichdi #259,298,12g,44g,6g,Veg,dinner,weight_loss,"dinner, light"
M0260,Chicken Curry with Chapati #260,509,37g,37g,16g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0261,Vegetable Pulao with Curd #261,442,10g,62g,7g,Veg,dinner,maintenance,"dinner, balanced"
M0262,Oats with Banana #262,365,10g,62g,5g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0263,Poha #263,277,5g,39g,1g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0264,Idli with Sambar #264,321,7g,50g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
M0265,Grilled Chicken with Rice #265,476,40g,53g,21g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0266,Rajma Chawal #266,491,18g,73g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0267,Paneer Bhurji with Roti #267,429,18g,39g,16g,Veg,lunch,maintenance,"lunch, protein_rich"
M0268,Moong Dal Khichdi #268,273,13g,46g,1g,Veg,dinner,weight_loss,"dinner, light"
M0269,Chicken Curry with Chapati #269,527,36g,40g,19g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0270,Vegetable Pulao with Curd #270,451,10g,60g,13g,Veg,dinner,maintenance,"dinner, balanced"
M0271,Oats with Banana #271,349,12g,59g,7g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0272,Poha #272,256,4g,42g,4g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0273,Idli with Sambar #273,299,9g,49g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0274,Grilled Chicken with Rice #274,456,42g,46g,21g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0275,Rajma Chawal #275,510,18g,71g,6g,Veg,lunch,weight_gain,"lunch, high_carb"
M0276,Paneer Bhurji with Roti #276,398,19g,34g,16g,Veg,lunch,maintenance,"lunch, protein_rich"
M0277,Moong Dal Khichdi #277,291,11g,45g,4g,Veg,dinner,weight_loss,"dinner, light"
M0278,Chicken Curry with Chapati #278,513,34g,35g,19g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0279,Vegetable Pulao with Curd #279,465,9g,63g,7g,Veg,dinner,maintenance,"dinner, balanced"
M0280,Oats with Banana #280,333,10g,55g,5g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0281,Poha #281,239,7g,41g,5g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0282,Idli with Sambar #282,288,7g,53g,2g,Veg,breakfast,maintenance,"breakfast, balanced"
M0283,Grilled Chicken with Rice #283,463,39g,45g,22g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0284,Rajma Chawal #284,523,16g,69g,10g,Veg,lunch,weight_gain,"lunch, high_carb"
M0285,Paneer Bhurji with Roti #285,370,20g,30g,18g,Veg,lunch,maintenance,"lunch, protein_rich"
M0286,Moong Dal Khichdi #286,319,11g,49g,1g,Veg,dinner,weight_loss,"dinner, light"
M0287,Chicken Curry with Chapati #287,481,34g,45g,16g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0288,Vegetable Pulao with Curd #288,465,11g,65g,11g,Veg,dinner,maintenance,"dinner, balanced"
M0289,Oats with Banana #289,370,11g,56g,8g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0290,Poha #290,266,4g,42g,1g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0291,Idli with Sambar #291,312,9g,52g,4g,Veg,breakfast,maintenance,"breakfast, balanced"
M0292,Grilled Chicken with Rice #292,479,40g,48g,20g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0293,Rajma Chawal #293,517,20g,73g,5g,Veg,lunch,weight_gain,"lunch, high_carb"
M0294,Paneer Bhurji with Roti #294,387,21g,31g,17g,Veg,lunch,maintenance,"lunch, protein_rich"
M0295,Moong Dal Khichdi #295,319,10g,47g,3g,Veg,dinner,weight_loss,"dinner, light"
M0296,Chicken Curry with Chapati #296,488,33g,41g,20g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0297,Vegetable Pulao with Curd #297,426,11g,56g,9g,Veg,dinner,maintenance,"dinner, balanced"
M0298,Oats with Banana #298,339,12g,57g,2g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0299,Poha #299,275,4g,45g,3g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0300,Idli with Sambar #300,294,6g,55g,4g,Veg,breakfast,maintenance,"breakfast, balanced"
M0301,Grilled Chicken with Rice #301,426,42g,45g,23g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0302,Rajma Chawal #302,506,19g,73g,6g,Veg,lunch,weight_gain,"lunch, high_carb"
M0303,Paneer Bhurji with Roti #303,425,21g,31g,16g,Veg,lunch,maintenance,"lunch, protein_rich"
M0304,Moong Dal Khichdi #304,270,14g,41g,1g,Veg,dinner,weight_loss,"dinner, light"
M0305,Chicken Curry with Chapati #305,488,33g,37g,15g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0306,Vegetable Pulao with Curd #306,458,10g,60g,12g,Veg,dinner,maintenance,"dinner, balanced"
M0307,Oats with Banana #307,360,9g,55g,2g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0308,Poha #308,236,8g,44g,3g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0309,Idli with Sambar #309,293,6g,48g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
M0310,Grilled Chicken with Rice #310,461,39g,55g,23g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0311,Rajma Chawal #311,474,18g,70g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0312,Paneer Bhurji with Roti #312,412,19g,30g,18g,Veg,lunch,maintenance,"lunch, protein_rich"
M0313,Moong Dal Khichdi #313,325,14g,46g,3g,Veg,dinner,weight_loss,"dinner, light"
M0314,Chicken Curry with Chapati #314,508,37g,36g,19g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0315,Vegetable Pulao with Curd #315,450,11g,64g,13g,Veg,dinner,maintenance,"dinner, balanced"
M0316,Oats with Banana #316,342,10g,56g,5g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0317,Poha #317,279,7g,36g,7g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0318,Idli with Sambar #318,285,7g,49g,6g,Veg,breakfast,maintenance,"breakfast, balanced"
M0319,Grilled Chicken with Rice #319,431,40g,52g,23g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0320,Rajma Chawal #320,470,20g,70g,10g,Veg,lunch,weight_gain,"lunch, high_carb"
M0321,Paneer Bhurji with Roti #321,428,22g,33g,13g,Veg,lunch,maintenance,"lunch, protein_rich"
M0322,Moong Dal Khichdi #322,278,13g,40g,3g,Veg,dinner,weight_loss,"dinner, light"
M0323,Chicken Curry with Chapati #323,518,35g,45g,19g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0324,Vegetable Pulao with Curd #324,421,11g,61g,10g,Veg,dinner,maintenance,"dinner, balanced"
M0325,Oats with Banana #325,330,10g,57g,6g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0326,Poha #326,244,6g,42g,2g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0327,Idli with Sambar #327,314,7g,51g,4g,Veg,breakfast,maintenance,"breakfast, balanced"
M0328,Grilled Chicken with Rice #328,459,40g,45g,18g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0329,Rajma Chawal #329,522,18g,72g,6g,Veg,lunch,weight_gain,"lunch, high_carb"
M0330,Paneer Bhurji with Roti #330,370,22g,33g,14g,Veg,lunch,maintenance,"lunch, protein_rich"
M0331,Moong Dal Khichdi #331,316,10g,49g,2g,Veg,dinner,weight_loss,"dinner, light"
M0332,Chicken Curry with Chapati #332,472,37g,37g,17g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0333,Vegetable Pulao with Curd #333,425,8g,65g,9g,Veg,dinner,maintenance,"dinner, balanced"
M0334,Oats with Banana #334,327,12g,64g,4g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0335,Poha #335,245,4g,41g,2g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0336,Idli with Sambar #336,321,7g,55g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0337,Grilled Chicken with Rice #337,480,40g,52g,19g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0338,Rajma Chawal #338,479,20g,66g,6g,Veg,lunch,weight_gain,"lunch, high_carb"
M0339,Paneer Bhurji with Roti #339,395,21g,36g,15g,Veg,lunch,maintenance,"lunch, protein_rich"
M0340,Moong Dal Khichdi #340,312,10g,50g,1g,Veg,dinner,weight_loss,"dinner, light"
M0341,Chicken Curry with Chapati #341,486,34g,43g,21g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0342,Vegetable Pulao with Curd #342,448,8g,65g,11g,Veg,dinner,maintenance,"dinner, balanced"
M0343,Oats with Banana #343,350,8g,56g,2g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0344,Poha #344,227,6g,40g,1g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0345,Idli with Sambar #345,282,6g,45g,4g,Veg,breakfast,maintenance,"breakfast, balanced"
M0346,Grilled Chicken with Rice #346,460,41g,47g,17g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0347,Rajma Chawal #347,488,18g,69g,10g,Veg,lunch,weight_gain,"lunch, high_carb"
M0348,Paneer Bhurji with Roti #348,376,19g,37g,17g,Veg,lunch,maintenance,"lunch, protein_rich"
M0349,Moong Dal Khichdi #349,314,14g,50g,6g,Veg,dinner,weight_loss,"dinner, light"
M0350,Chicken Curry with Chapati #350,488,36g,35g,15g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0351,Vegetable Pulao with Curd #351,425,11g,61g,11g,Veg,dinner,maintenance,"dinner, balanced"
M0352,Oats with Banana #352,339,8g,57g,4g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0353,Poha #353,229,8g,45g,3g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0354,Idli with Sambar #354,316,9g,51g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
M0355,Grilled Chicken with Rice #355,477,42g,46g,20g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0356,Rajma Chawal #356,508,17g,73g,9g,Veg,lunch,weight_gain,"lunch, high_carb"
M0357,Paneer Bhurji with Roti #357,402,18g,40g,17g,Veg,lunch,maintenance,"lunch, protein_rich"
M0358,Moong Dal Khichdi #358,285,14g,41g,7g,Veg,dinner,weight_loss,"dinner, light"
M0359,Chicken Curry with Chapati #359,485,33g,35g,18g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0360,Vegetable Pulao with Curd #360,467,9g,62g,8g,Veg,dinner,maintenance,"dinner, balanced"
M0361,Oats with Banana #361,326,8g,55g,2g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0362,Poha #362,271,7g,36g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0363,Idli with Sambar #363,309,9g,55g,2g,Veg,breakfast,maintenance,"breakfast, balanced"
M0364,Grilled Chicken with Rice #364,436,39g,51g,23g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0365,Rajma Chawal #365,523,20g,72g,10g,Veg,lunch,weight_gain,"lunch, high_carb"
M0366,Paneer Bhurji with Roti #366,413,19g,30g,15g,Veg,lunch,maintenance,"lunch, protein_rich"
M0367,Moong Dal Khichdi #367,311,12g,46g,1g,Veg,dinner,weight_loss,"dinner, light"
M0368,Chicken Curry with Chapati #368,511,34g,45g,16g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0369,Vegetable Pulao with Curd #369,473,12g,61g,11g,Veg,dinner,maintenance,"dinner, balanced"
M0370,Oats with Banana #370,341,11g,64g,7g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0371,Poha #371,278,6g,36g,1g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0372,Idli with Sambar #372,324,9g,48g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0373,Grilled Chicken with Rice #373,430,41g,48g,23g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0374,Rajma Chawal #374,514,18g,67g,11g,Veg,lunch,weight_gain,"lunch, high_carb"
M0375,Paneer Bhurji with Roti #375,413,22g,40g,13g,Veg,lunch,maintenance,"lunch, protein_rich"
M0376,Moong Dal Khichdi #376,284,10g,46g,3g,Veg,dinner,weight_loss,"dinner, light"
M0377,Chicken Curry with Chapati #377,476,34g,43g,21g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0378,Vegetable Pulao with Curd #378,451,8g,62g,10g,Veg,dinner,maintenance,"dinner, balanced"
M0379,Oats with Banana #379,376,12g,61g,2g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0380,Poha #380,243,5g,39g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0381,Idli with Sambar #381,295,9g,54g,3g,Veg,breakfast,maintenance,"breakfast, balanced"
M0382,Grilled Chicken with Rice #382,441,38g,53g,21g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0383,Rajma Chawal #383,508,20g,70g,10g,Veg,lunch,weight_gain,"lunch, high_carb"
M0384,Paneer Bhurji with Roti #384,406,22g,39g,13g,Veg,lunch,maintenance,"lunch, protein_rich"
M0385,Moong Dal Khichdi #385,305,13g,41g,5g,Veg,dinner,weight_loss,"dinner, light"
M0386,Chicken Curry with Chapati #386,495,36g,41g,19g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0387,Vegetable Pulao with Curd #387,475,9g,55g,7g,Veg,dinner,maintenance,"dinner, balanced"
M0388,Oats with Banana #388,324,12g,63g,2g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0389,Poha #389,271,7g,42g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0390,Idli with Sambar #390,327,6g,48g,6g,Veg,breakfast,maintenance,"breakfast, balanced"
M0391,Grilled Chicken with Rice #391,467,41g,49g,23g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0392,Rajma Chawal #392,499,16g,75g,6g,Veg,lunch,weight_gain,"lunch, high_carb"
M0393,Paneer Bhurji with Roti #393,411,21g,40g,17g,Veg,lunch,maintenance,"lunch, protein_rich"
M0394,Moong Dal Khichdi #394,311,12g,42g,7g,Veg,dinner,weight_loss,"dinner, light"
M0395,Chicken Curry with Chapati #395,494,34g,44g,15g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0396,Vegetable Pulao with Curd #396,476,8g,63g,8g,Veg,dinner,maintenance,"dinner, balanced"
M0397,Oats with Banana #397,324,12g,61g,5g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0398,Poha #398,272,8g,38g,2g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0399,Idli with Sambar #399,286,6g,50g,4g,Veg,breakfast,maintenance,"breakfast, balanced"
M0400,Grilled Chicken with Rice #400,474,42g,55g,22g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0401,Rajma Chawal #401,519,18g,65g,6g,Veg,lunch,weight_gain,"lunch, high_carb"
M0402,Paneer Bhurji with Roti #402,426,22g,34g,13g,Veg,lunch,maintenance,"lunch, protein_rich"
M0403,Moong Dal Khichdi #403,290,13g,44g,3g,Veg,dinner,weight_loss,"dinner, light"
M0404,Chicken Curry with Chapati #404,506,34g,39g,17g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0405,Vegetable Pulao with Curd #405,436,8g,61g,12g,Veg,dinner,maintenance,"dinner, balanced"
M0406,Oats with Banana #406,344,9g,62g,7g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0407,Poha #407,224,4g,39g,7g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0408,Idli with Sambar #408,292,7g,46g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0409,Grilled Chicken with Rice #409,421,42g,49g,19g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0410,Rajma Chawal #410,476,16g,73g,10g,Veg,lunch,weight_gain,"lunch, high_carb"
M0411,Paneer Bhurji with Roti #411,381,20g,37g,12g,Veg,lunch,maintenance,"lunch, protein_rich"
M0412,Moong Dal Khichdi #412,280,12g,43g,2g,Veg,dinner,weight_loss,"dinner, light"
M0413,Chicken Curry with Chapati #413,523,33g,40g,19g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0414,Vegetable Pulao with Curd #414,433,9g,63g,13g,Veg,dinner,maintenance,"dinner, balanced"
M0415,Oats with Banana #415,372,12g,63g,6g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0416,Poha #416,223,5g,38g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0417,Idli with Sambar #417,295,6g,49g,3g,Veg,breakfast,maintenance,"breakfast, balanced"
M0418,Grilled Chicken with Rice #418,459,40g,51g,17g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0419,Rajma Chawal #419,511,20g,71g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0420,Paneer Bhurji with Roti #420,375,18g,31g,13g,Veg,lunch,maintenance,"lunch, protein_rich"
M0421,Moong Dal Khichdi #421,281,12g,44g,4g,Veg,dinner,weight_loss,"dinner, light"
M0422,Chicken Curry with Chapati #422,482,37g,36g,21g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0423,Vegetable Pulao with Curd #423,441,9g,61g,10g,Veg,dinner,maintenance,"dinner, balanced"
M0424,Oats with Banana #424,331,10g,59g,7g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0425,Poha #425,264,6g,40g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0426,Idli with Sambar #426,282,7g,45g,4g,Veg,breakfast,maintenance,"breakfast, balanced"
M0427,Grilled Chicken with Rice #427,478,41g,52g,19g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0428,Rajma Chawal #428,509,17g,71g,8g,Veg,lunch,weight_gain,"lunch, high_carb"
M0429,Paneer Bhurji with Roti #429,382,18g,36g,18g,Veg,lunch,maintenance,"lunch, protein_rich"
M0430,Moong Dal Khichdi #430,314,12g,50g,3g,Veg,dinner,weight_loss,"dinner, light"
M0431,Chicken Curry with Chapati #431,480,36g,35g,20g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0432,Vegetable Pulao with Curd #432,477,12g,60g,10g,Veg,dinner,maintenance,"dinner, balanced"
M0433,Oats with Banana #433,354,12g,55g,7g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0434,Poha #434,254,4g,43g,2g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0435,Idli with Sambar #435,284,7g,53g,2g,Veg,breakfast,maintenance,"breakfast, balanced"
M0436,Grilled Chicken with Rice #436,462,39g,49g,17g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0437,Rajma Chawal #437,480,17g,68g,5g,Veg,lunch,weight_gain,"lunch, high_carb"
M0438,Paneer Bhurji with Roti #438,407,20g,36g,12g,Veg,lunch,maintenance,"lunch, protein_rich"
M0439,Moong Dal Khichdi #439,311,12g,47g,4g,Veg,dinner,weight_loss,"dinner, light"
M0440,Chicken Curry with Chapati #440,485,36g,42g,18g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0441,Vegetable Pulao with Curd #441,477,9g,59g,9g,Veg,dinner,maintenance,"dinner, balanced"
M0442,Oats with Banana #442,356,9g,56g,4g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0443,Poha #443,269,5g,35g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0444,Idli with Sambar #444,310,10g,50g,2g,Veg,breakfast,maintenance,"breakfast, balanced"
M0445,Grilled Chicken with Rice #445,457,41g,49g,19g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0446,Rajma Chawal #446,492,18g,66g,11g,Veg,lunch,weight_gain,"lunch, high_carb"
M0447,Paneer Bhurji with Roti #447,427,22g,38g,14g,Veg,lunch,maintenance,"lunch, protein_rich"
M0448,Moong Dal Khichdi #448,276,14g,44g,4g,Veg,dinner,weight_loss,"dinner, light"
M0449,Chicken Curry with Chapati #449,527,33g,38g,20g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0450,Vegetable Pulao with Curd #450,468,11g,57g,13g,Veg,dinner,maintenance,"dinner, balanced"
M0451,Oats with Banana #451,354,8g,56g,4g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0452,Poha #452,270,6g,38g,5g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0453,Idli with Sambar #453,304,7g,50g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
M0454,Grilled Chicken with Rice #454,473,42g,45g,23g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0455,Rajma Chawal #455,509,17g,67g,8g,Veg,lunch,weight_gain,"lunch, high_carb"
M0456,Paneer Bhurji with Roti #456,417,22g,32g,17g,Veg,lunch,maintenance,"lunch, protein_rich"
M0457,Moong Dal Khichdi #457,284,11g,41g,4g,Veg,dinner,weight_loss,"dinner, light"
M0458,Chicken Curry with Chapati #458,503,37g,40g,18g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0459,Vegetable Pulao with Curd #459,444,10g,64g,7g,Veg,dinner,maintenance,"dinner, balanced"
M0460,Oats with Banana #460,345,11g,57g,8g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0461,Poha #461,257,7g,35g,3g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0462,Idli with Sambar #462,274,8g,53g,2g,Veg,breakfast,maintenance,"breakfast, balanced"
M0463,Grilled Chicken with Rice #463,431,42g,48g,21g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0464,Rajma Chawal #464,514,19g,74g,5g,Veg,lunch,weight_gain,"lunch, high_carb"
M0465,Paneer Bhurji with Roti #465,419,20g,35g,16g,Veg,lunch,maintenance,"lunch, protein_rich"
M0466,Moong Dal Khichdi #466,327,12g,41g,2g,Veg,dinner,weight_loss,"dinner, light"
M0467,Chicken Curry with Chapati #467,478,34g,42g,19g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0468,Vegetable Pulao with Curd #468,470,9g,65g,12g,Veg,dinner,maintenance,"dinner, balanced"
M0469,Oats with Banana #469,367,8g,56g,4g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0470,Poha #470,249,7g,38g,5g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0471,Idli with Sambar #471,304,9g,47g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
M0472,Grilled Chicken with Rice #472,469,42g,46g,22g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0473,Rajma Chawal #473,487,16g,72g,11g,Veg,lunch,weight_gain,"lunch, high_carb"
M0474,Paneer Bhurji with Roti #474,371,19g,34g,17g,Veg,lunch,maintenance,"lunch, protein_rich"
M0475,Moong Dal Khichdi #475,289,13g,45g,3g,Veg,dinner,weight_loss,"dinner, light"
M0476,Chicken Curry with Chapati #476,475,37g,41g,17g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0477,Vegetable Pulao with Curd #477,456,10g,60g,12g,Veg,dinner,maintenance,"dinner, balanced"
M0478,Oats with Banana #478,379,10g,65g,7g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0479,Poha #479,238,8g,43g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0480,Idli with Sambar #480,330,10g,52g,1g,Veg,breakfast,maintenance,"breakfast, balanced"
M0481,Grilled Chicken with Rice #481,452,38g,48g,23g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0482,Rajma Chawal #482,529,19g,71g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0483,Paneer Bhurji with Roti #483,410,22g,36g,12g,Veg,lunch,maintenance,"lunch, protein_rich"
M0484,Moong Dal Khichdi #484,300,12g,49g,3g,Veg,dinner,weight_loss,"dinner, light"
M0485,Chicken Curry with Chapati #485,488,33g,42g,17g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0486,Vegetable Pulao with Curd #486,446,11g,60g,13g,Veg,dinner,maintenance,"dinner, balanced"
M0487,Oats with Banana #487,339,10g,58g,7g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0488,Poha #488,227,4g,44g,2g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0489,Idli with Sambar #489,283,7g,53g,2g,Veg,breakfast,maintenance,"breakfast, balanced"
M0490,Grilled Chicken with Rice #490,420,42g,47g,21g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0491,Rajma Chawal #491,517,16g,69g,10g,Veg,lunch,weight_gain,"lunch, high_carb"
M0492,Paneer Bhurji with Roti #492,371,22g,36g,14g,Veg,lunch,maintenance,"lunch, protein_rich"
M0493,Moong Dal Khichdi #493,281,11g,48g,7g,Veg,dinner,weight_loss,"dinner, light"
M0494,Chicken Curry with Chapati #494,472,35g,45g,18g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0495,Vegetable Pulao with Curd #495,446,11g,64g,9g,Veg,dinner,maintenance,"dinner, balanced"
M0496,Oats with Banana #496,337,11g,64g,7g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0497,Poha #497,270,6g,39g,6g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0498,Idli with Sambar #498,278,7g,50g,3g,Veg,breakfast,maintenance,"breakfast, balanced"
M0499,Grilled Chicken with Rice #499,423,39g,49g,20g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0500,Rajma Chawal #500,472,19g,67g,11g,Veg,lunch,weight_gain,"lunch, high_carb"
M0501,Paneer Bhurji with Roti #501,381,20g,36g,16g,Veg,lunch,maintenance,"lunch, protein_rich"
M0502,Moong Dal Khichdi #502,278,12g,45g,3g,Veg,dinner,weight_loss,"dinner, light"
M0503,Chicken Curry with Chapati #503,484,35g,40g,15g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0504,Vegetable Pulao with Curd #504,465,11g,61g,13g,Veg,dinner,maintenance,"dinner, balanced"
M0505,Oats with Banana #505,368,12g,58g,4g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0506,Poha #506,270,7g,45g,7g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0507,Idli with Sambar #507,292,10g,49g,6g,Veg,breakfast,maintenance,"breakfast, balanced"
M0508,Grilled Chicken with Rice #508,444,42g,53g,23g,NonVeg,lunch,weight_loss,"lunch, high_protein"
M0509,Rajma Chawal #509,515,17g,74g,7g,Veg,lunch,weight_gain,"lunch, high_carb"
M0510,Paneer Bhurji with Roti #510,416,18g,39g,17g,Veg,lunch,maintenance,"lunch, protein_rich"
M0511,Moong Dal Khichdi #511,309,13g,50g,3g,Veg,dinner,weight_loss,"dinner, light"
M0512,Chicken Curry with Chapati #512,505,37g,35g,18g,NonVeg,dinner,weight_gain,"dinner, high_protein"
M0513,Vegetable Pulao with Curd #513,475,9g,62g,13g,Veg,dinner,maintenance,"dinner, balanced"
M0514,Oats with Banana #514,325,9g,61g,6g,Veg,breakfast,weight_gain,"breakfast, high_carb, weight_gain"
M0515,Poha #515,228,4g,39g,1g,Veg,breakfast,weight_loss,"breakfast, low_fat, light"
M0516,Idli with Sambar #516,328,6g,50g,5g,Veg,breakfast,maintenance,"breakfast, balanced"
